timestamp,ip,module,level,message
"2025-11-03 21:11:03",172.16.38.11,autoindex,error,"AH01276: Cannot serve directory /srv/www/htdocs/: No matching DirectoryIndex (index.html,index.html.var,index.php4,index.php5,index.php7,index.php) found, and server-generated directory index forbidden by Options directive, referer: https://clabsql.constructor.university/"
"2025-11-03 22:40:37",10.212.134.5,authz_core,error,"AH01630: client denied by server configuration: /home/ymaniar/public_html"
"2025-11-03 22:40:41",,core,crit,"(13)Permission denied: [client 10.212.134.5:62543] AH00529: /home/hessahli/public_html/img/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable and that '/home/hessahli/public_html/img/' is executable, referer: http://10.60.36.1/~hessahli/"
"2025-11-03 22:41:09",10.212.134.5,php7,error,"PHP Fatal error:  Uncaught Error: Call to a member function bind_param() on bool in /home/hessahli/public_html/search_result_1.php:11\nStack trace:\n#0 {main}\n  thrown in /home/hessahli/public_html/search_result_1.php on line 11, referer: http://10.60.36.1/~hessahli/search_form_1.php"
"2025-11-03 22:41:12",10.212.134.5,php7,error,"PHP Fatal error:  Uncaught Error: Call to a member function bind_param() on bool in /home/hessahli/public_html/search_result_1.php:11\nStack trace:\n#0 {main}\n  thrown in /home/hessahli/public_html/search_result_1.php on line 11, referer: http://10.60.36.1/~hessahli/search_form_1.php"
"2025-11-03 22:42:54",10.212.134.5,php7,notice,"PHP Notice:  Undefined index: User_name in /home/ycao/public_html/r_Users.php on line 61"
"2025-11-03 22:42:54",10.212.134.5,php7,notice,"PHP Notice:  Undefined index: Email in /home/ycao/public_html/r_Users.php on line 62"
"2025-11-03 22:43:52",10.212.134.5,php7,error,"PHP Fatal error:  Uncaught Error: Call to a member function fetch_assoc() on bool in /home/hessahli/public_html/search_result_3.php:18\nStack trace:\n#0 {main}\n  thrown in /home/hessahli/public_html/search_result_3.php on line 18, referer: http://10.60.36.1/~hessahli/search_form_3.php"
"2025-11-04 09:34:29",172.16.38.19,php7,warn,"PHP Warning:  require(../db_connect.php): failed to open stream: No such file or directory in /home/idzneladze/public_html/searches/cheapwines_detail.php on line 5, referer: http://10.60.36.1/~idzneladze/searches/cheapwines_list.php?price=50"
"2025-11-04 09:34:29",172.16.38.19,php7,error,"PHP Fatal error:  require(): Failed opening required '../db_connect.php' (include_path='.:/usr/share/php7:/usr/share/php7/PEAR') in /home/idzneladze/public_html/searches/cheapwines_detail.php on line 5, referer: http://10.60.36.1/~idzneladze/searches/cheapwines_list.php?price=50"
